Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
08/03/2010,01:19,"Igarka, Russia",Katekavia Airline,KYU9357,Karsnoyarsk - Igarka,  Antonov An-24 V,b'RA-46524', 47310003,15,12,0,"The plane crashed while on approach to Igarka Airport in adverse weather conditions. Crew tried to land in below weather minimums. Execution of an approach in conditions worse than the weather minima of the airfield, aircraft, and pilot. The failure of the crew to take a timely decision for a missed approach when the plane descended below the minimum safe height in the absence of reliable visual contact with approach lights and runway lights. This caused the aircraft to strike trees and the ground in controlled flight."
08/09/2010,14:45,"Near Dillingham, Alaska",GCI Communications Corp.,,,de Havilland Canada DH-3T Otter,b'N455A',206,9,5,0,"The floatplane, carrying passengers to a fishing site crashed into a brush and rock covered mountainside in light rain and fog. Former Alaska U.S. Senator, Ted Stevens, was among those killed.The NTSB found the probable cause to be the pilot’s temporary unresponsiveness for reasons that could not be established from the available information. There was no mechanical problem with the plane and that weather was not likely a factor in the crash."
08/16/2010,01:49,"San Andreas Island, Colombia",AIRES Colombia,,Bogota - San Andreas Island,Boeing B-737-73V,b'HK-4882\xc2\xa0',32416/1270,131,2,0,"The airliner crashed onto the runway and broke in two during a major storm. One hundred twenty four people were injured. One passenger died of a heart attack and a 11- year-old girl died later of head injuries. Execution of the flight below the angle of approach, due to a misjudgment of the crew, believing to be much higher, leading the aircraft to fly a typical trajectory of a 'black hole' illusion, which was experienced during the night-time approach to a runway with low contrast surrounded in bright focused lights, aggravated by bad weather of heavy rain."
08/21/2010,14:12,"Off Kaminshak Bay, Alaska",Branch River Air Service,,Swikshak Lagoon - King Salmon,de Havilland Canada DHC-2 Beaver,b'N9313Z',441,4,4,0,Crashed in the water off Katmai National Park. Only fragments of the plane were foud. No bodies were ever found. The probable cause was undetermined.
08/24/2010,22:10,"Yichun, China",Henan Airlines,,Harbin - Yichun,Embraer ERJ-190-100LR,b'B-3130',19000223,96,44,0,"The plane overshot the runway while landing and burst into flames. The pilot violated aviation rules during the descent, did not locate the runway before landing and abandoned the crashed aircraft."
08/24/2010,07:30,"Bastipur, Nepal",Agni Air ,101,Kathmandu - Lukla,Dornier 228-101,b'9NAHE',0732,14,14,0,"The crew decided to divert to Simara Airport due to poor weather conditions at Kathmandu. Contact with ATC was lost when the plane crashed into a hillside at 9,000 ft., 20 miles SSW of Kathmandu. The crew members became disoriented after they lost contact with the ATC due to failure of both generators and the exhaustion of the backup battery."
08/25/2010,13:00,"Bandundu, Congo Democratic Republic",Filair,,Kinshasa - Bandundu,Let 410UVP-E,b'9Q-CCN',912608,20,19,0,"The plane crashed 2km from the airstirp and impacted a house as it attempted to land following a go-around. A passenger brought aboard a crocodile hidden in a sports bag. The crocodile escaped, causing a panic among passengers who all rushed to one end of the plane. This caused an imbalance in the aircraft which led to loss of control and a crash."
08/27/2010,,"Buena Vista, Venezuela",Military - Venezuelan National Guard,,Buena Vista - Cararabo,Mi 17V-5,b'GN10139',,10,10,0,"The helicopter crashed while taking off on a counter-drug mission, killing all 10 soldiers on board. They were searching for a group of suspected drug traffickers in southwestern Apure state."
08/31/2010,16:30,"Misima Island, Papua New Guinea",Trans Air,,Port Moseby - Misima Island,Cessna 550 Citation II,b'P2-TAA',550-0145,5,4,0,"While attempting to land in heavy rain, the plane slid off the runway and ran into some trees bursing into flames. The copilot survived."
09/03/2010,19:39,"Dubai, United Arab Emirates",United Parcel Service- UPS,006,"Dubai - Bonn, Germany",Boeing B747-44AF,b'N571UP',35668/1393,2,2,0,"The cargo plane crashed 10 km North of Dubai Airport shortly after taking off. The plane was attempting to return to the airport when the accident happened. The data recorder indicated there was smoke or fire coming from the cargo area. The cargo plane's pilots struggled to see their primary flight instrument displays as thick smoke filled the cockpit. The pilots could  not manually control the plane’s elevation and direction, probably because cables running above the likely location of a cargo fire lost tension. The fire began near where a shipment of lithium batteries were stored."
09/04/2010,01:15,Fox Glacier Airstrip,Sky Dive New Zealand,,Fox Glacier Airstrip - Fox Glacier Airstrip,Fletcher FU-24-954,b'ZK-EUF',281,9,9,0,"Seconds after taking off from Fox Glacier airstrip, the aircraft crashed and burned in a field. Investigators blamed an overloaded plane and too much weight towards the back of the plane."
09/13/2010,10:32,"Puerto Ordaz, Venezuela",Conviasa Airline,2350,Porlamar - Puerto Ordaz,ATR 42-320,b'YV-1010',371,51,17,0,"While en route, the passenger plane crashed and burned in a storage yard of a steel foundry, six miles SE of Puerto Ordaz Airport, after the pilot reported having problems controlling the aircraft."
09/21/2010,,"Chopan district, Zabul Province, Afghanistan",International Security Assistance Force,,,Sikorsky UH-60 Black Hawk,b'\t93-26517',,13,10,0,The military helicopter crashed while en route. There were no reports of enemy fire prior to the accident.
10/06/2010,,"Rasht Valley, Tajikistan",	Military - Tajik National Guard,,,Mi-8,,,28,28,0,The military helicopter crashed after hitting power lines.
10/06/2010,08:00,"Sierra de Santa Martha, Mexico",Aviones Taxi AIFE,,Minatitlan - Veracruz,Cessna 501 Citation,b'XA-TKY',501-0029,8,8,0,The air taxi crashed into mountains in poor weather conditons
10/12/2010,19:50,"Near Kabul, Afghanistan",National Air Cargo,,Bagram AB - Kabul,Lockheed L-100 Hercules,b'5X-TUC',4362,8,8,0,The cargo plane crashed into a mountainside about 18 miles east of Kabul Airport.
10/21/2010,,"Near Bugulumisa, Congo",Tracep,,Bukavu - Shabund,Let 410UVP,b'9Q-CUA',X0101,2,2,0,The cargo plane experienced an engine failure 5 minutes after taking off causing the aircraft to crash.
10/27/2010,16:30,"Near Wami, Indonesia",Indonesian Police,,Nabire - Ambon,PZL Mielec M28-05PI Skytruck,b'P-4202',,5,5,0,"Five Indonesian police officers, on a mission to help flood victems, were killed when their plane crashed into a tree while attempting to land in poor weather conditons."
11/04/2010,17:45,"Near Guasimal, Cuba",Aerocaribbean,883,Santiago de Cuba- Havana,ATR-72-212,b'CU-T1549',459,68,68,0,"While the plane was en route, the pilot radioed an emergency message. Contact was lost and the plane crashed into mountainous terrain. All 61 passenger and 7 crew were killed.Icing  in combination with crew errors in handling the situation."
11/05/2010,07:10,"Near Karachi, Pakistan",JS Air,,Karachi - Oil compound in Sindh province,Beechcraft 1900C-1,b'AP-BJD',UC-157,21,21,0,"The plane, carrying Italian oil company personne,l suffered an engine failure on climb-out and was attempting to return to the airport when it nose-dived and crashed near a residential area in Gulistan-e-Jauhar."
11/25/2010,12:07,"Strezhevoy, Russia",NARZ,,,Mil Mi-8T,b'RA-22376',7257,10,7,0,"The helicopter, which was delivering workers to a drilling site, crashed and burned while attempting to land, after the tail rotor became entangled in wires."
11/27/2010,01:53,"Karachi, Pakistan",Sun Way,4412,Karachi - Khartoum,Ilyushin Il-76TD,b'4L-GNI',43452546,8,8,4,"The cargo plane, carrying 31 tons of relief supplies for Sudan, crashed into buildings of the Naval Housing Colony while attempting to return to runway 07R shortly after taking off from Karachi."
12/04/2010,14:49,"Moscow, Russia",Dagestan Airlines,372,"Moscow -Makhachkala, Dagestan",Tupolev Tu-154M,b'RA-85744',92A-927,169,2,0,"About 80km out from Moscow, the crew reported losing all three engines, electrical power and navigation equipment. They decided to divert back to Moscow. Visual contact with the ground could not be established until breaking through the overcast at 500 feet. The aircraft landed, skidded off the runway and broke into three pieces. Unintentional shutdown of supply tank booster pumps when the flight engineer carried out manual fuel transfer procedures during the climb, leading to instantaneous oscillation of fuel flow to the engines and their speed, a shut down of the outer engines and power supply problems in the aircraft for 2 minutes 23 seconds due to the failure of three generators. Failure to use all the possibilities by the crew to restore engine power;"
12/15/2010,15:30,"Palunge Hill, Nepal",Tara Air,,Lamidanda - Kathmandu,de Havilland Canada DHC-6 Twin Otter,b'9N-AFX',806,22,22,0,The plane crashed after its right wing clipped a mountaintop while en route.
01/01/2011,15:25,"Surgut, Russia",Kogalmavia,348,Surgut - Moscow,Tupolev Tu-154B-2,b'RA-85588',83A588,124,3,0,The passenger jet caught fire and exploded as it taxied for take off. Three passenger were killed and 43 injured during the evacuation. Electrical short.
01/09/2011,19:45,"Orumiyeh, Iran",Iran Air,277,Tehran - Orumiyeh,Boeing B-727-286,b'EP-IRP\xc2\xa0',20945/1048,105,77,0,The accident happened after the plane was unable to land because of poor weather conditions and was attempting a go-around. The aircraft crashed 5 miles from the Orumiyeh airport in a snowy field..
02/08/2011,16:40,"Off Plettenberg Bay, South Africa",Majuba Aviation,,Queenstown - Plettenberg Bay,Pilatus PC-12/47,b'ZS-GAA',858,9,9,0,"When the crew encountered dense fog, limiting visibility, the pilot aborted the landing and was in the process of a go-around when the plane crashed into the sea."
02/10/2011,09:45,"Cork, Ireland",Manx2,7100,Belfast - Cork,Swearingen SA-227BC Metro III,b'EC-ITP\xc2\xa0',BC-789B,12,6,0,"The Metroliner made an approach to Runway 17 in low visibility and the crew decided to go-around. A second attempt to land on Runway 35 was also unsuccessful and resulted in another go-around. During a third landing attempt on Runway 17, the aircraft crashed adjacent to Taxiway C and came to rest upside down. A fire soon erupted. Four passenger and both crew members were killed. Improper crew coordination and procedures led to loss of control of the aircraft. A contributing factor was inadequate maintenance causing the two engines to develop unequal thrust."
02/14/2011,08:02,"Near Santa Ana Francisco Morazan, Honduras",Central American Airways,731,San Pedro Sula - Tegucigalpa,Let L-410 UVPE-20,b'HR-AUQ\xc2\xa0',912603,14,14,0,"The small airlilner crashed into a hill at an elevation of 2,000 feet while on approach in poor visibility."
02/22/2011,,"San Pedro del Rio, Venezuela",	Maparca,,El Vigia - San Domingo,Cesna 340A,b'YV-2402',	340-1502,6,6,0,"For unknown reasons, the small plane crashed into a field while en route."
03/21/2011,,"Pointe-Noire, Congo",Trans Air Cargo,,Brazzaville - Pointe Noire,Antonov 12BP,b'TN-AGK',402006,9,9,14,The cargo plane was approaching Runway 17 at Pointe-Noire Airport when it crashed in the Mvou Mvou residential area and was destroyed.
04/04/2011,13:30,"Kinshasa, Congo",United Nations,834,Kisangani - Kinshasa,Canadair CL-600 CRJ-100ER,b'4L-GAE\xc2\xa0',7070,33,32,0,"The plane operated on behalf of the United Nations Organization Stabilization Mission and was leased from Geogian Airways. While attempting to land in rain, thunderstorms and strong winds at Kinshasa, the plane missed the runway and crashed. Twenty eight passengers and crew of 4 were killed. One passenger survived. he inappropriate decision of the crew to continue the approach, in face of extremely inclement weather being displayed on their weather radar. Lack of adequate supervision by the Operator to ensure that its crew complied with established procedures including weather avoidance procedures and stabilized approach criteria."
04/19/2011,13:57,"	Tawang, India",	Pawan Hans Helicopters Ltd.,,,	Mil Mi-172,b'\tVT-PHF',356C06,23,18,0,"The helicopter crashed into a hill as it attempted to land at a high altitude helipad Six, including the copilot escaped with minor injuries.."
04/21/2011,14:52,"Manaus, Brazil",	AmazonavesAir Taxi,,Manaus - Santarem,Embraer/Piper EMB-810C Seneca,b'PT-EFS',	810055,7,7,0,The airl taxi crashed about one minute after taking off from Manaus Airport.
05/07/2011,14:00,"Off Kaimana, Indonesia",Merpati Nusantara Airlines,,Sorong - Kaimana,Xian MA-60,b'PK-MZK\xc2\xa0',603,27,27,0,"The turboprop had been circling Kaimana Airport for about 15 minutes when it crashed into the sea, 400 meters offshore, in poor weather conditions."
05/18/2011,20:53,"Near Prahuaniyeu, Argentina",SOL Lineas Aereas,5428,Neuquen - Comodoro Rivadavia,Saab 340A,b'LV-CEJ',25,22,22,0,"The domestic scheduled passenger flight crashed 12.5 miles north of Prahuaniyeu while en route, after transmitting a distress call. All 19 passengers and crew of three aboard were killed. Inadequate flight planning.Inadequate operational decision making on the part of the pilot. Loss of situational awareness from the flight crew."
05/25/2011,22:50,"Faridabad City, India",Air Charter Services Pvt. Ltd.,,Patna - New Delhi,Pilatus PC-12/45,b'VT-ACF',632,7,7,3,"While en route, the plane crashed into the roof of a house and burst into flames. The flight was transporting a 20 year-old patient to Apollo Hospital. The patient, two doctors, two attendants, the pilot and copilot, as well as three people in the house were killed. The plane encountered updraft and downdraft, resulting in disorientation of the two-member cockpit crew, who lost control."
06/20/2011,23:40,"Petrozavodsk, Russia",RusAir Airlines,7R-243,Moscow - Petrozavodsk,Tupolev Tu-134,b'RA-65691',63195/5703,52,47,0,"The airliner crashed while on final to Petrozavodsk in heavy fog, landing 1 kilometers short of the runway. The plane soon broke up and caught on fire. Factors in the accident: heavy fog. The crew could not see the runway's ground lights, but did not decide to turn away and make another attempt at landing. The plane hit nearby trees before crashing. Cooperation among the crew during the landing attempt was poor, with the pilot subordinating himself to the navigator and the co-pilot effectively excluded from decisions. The navigator was intoxicated."
07/06/2011,23:00,"Near Bagram Air Base, Afghanistan",Silk Way Airlines,,"Baku, Azerbaijan - Bagram Air Base, Afghanistan",Ilyushin76TD,b'4K-AZ55',2053420680,9,9,0,"While flying at 12,500 feet, the cargo plane crashed into a mountain peak, exploded and burned about 15 miles from Bagram. The aircraft was loaded with fuel for the International Security Assistance Force in Afghanistan."
07/08/2011,15:00,"Kisangani, Congo",Hewa Bora Airways,952,Kinshasa - Kisangani,Boeing B-727-100,b'9Q-COP',18933,115,77,0,"The airliner crashed and broke up after missing the runway while attempting to land at Bangoka International Airport. There was heavy rain, thunderstorms and limited visibility at the time of the accident."
07/11/2011,11:55,"Near Strezhevoy, Russia",Angara Airlines,5007,Tomsk - Surgut,Antonov An-24RV,b'RA-47302',57310302,37,7,0,"After reporting an engine fire in the left engine, the pilot attempted to make an emergency landing at Strezhevoy but ditched into the Orb River. Both pilots were not certified to fly. The captain's license was revoled and the first office had not finished his requalification exam."
07/13/2011,11:53,"Recife, Brazil",NOAR Linhas Aéreas,SP-5007,Recife - Natal,Let L-401UVP-20,b'PR-NOB',2722,16,16,0,"The regional airliner had taken off from Runway 18 after which the pilot reported that he wanted to return for an emergency landing. He then stated he was attempting a forced landing on the beach of Boa Viagem but instead the plane crashed into a vacant lot and burst into flames near the beach, 1.2 miles from the runway threshold."
07/26/2011,09:00,"Near Guelmim, Morocco",Military - Royal Moroccan Air Force,,Dakhla - Guelmim - Kinitra,Lockheed C-130 Hercule,b'CNA-OQ',4892,80,80,0,"The military transport plane crashed in the mountain, 6 miles northeast of Guelmim in bad weather while attempting to land."
07/28/2011,04:12,"Off Jeju, South Korean",Asiana Airlines,991,Seoul - Shanghai,Boeing B-747-48EF,b'HL-7604',29907/1370,2,2,0,"The cargo plane crashed into the sea about 70 miles west of Jeju after the crew reported a fire in a cargo hold. The plane was carrying 58 tons of electronic and machine parts, including lithium batteries."
08/02/2011,13:27,"Near Bom Jardim da Serra, SC, Brazil",Military - Brazilianl Air Force,,Canoas - Rio de Janeiro,Cessna 208B C-98A Grand Caravan,b'FAB2735\xc2\xa0',208B-2130,8,8,0,"While en route, the plane dove into the ground and exploded."
08/06/2011,,"Tangi Valley, Afghanistan",Military - U.S. Army,,,Boeing CH-47 Chinook,,,38,38,0,"Thirty-eight people, including 31 U.S. special forces troops and 7 Afghan soldiers were killed when their helicopter was shot down with a rocket-propelled grenade during overnight operations against Taliban insurgents."
08/09/2011,14:34,"Near Omsukchan, Russia",Avis Amur, LN-9209,Magdan - Keperveem,Antonov 12,b'RA-11125',3341006,11,11,0,"After leaving Magdan the crew of the cargo plane reported a fuel leak and an engine fire. While trying to return to Magdan, the plane crashed 6 miels from Omsukchan, 190 miles from its original take-off point. The plane carried 18 tons of cargo."
08/13/2011,19:40,"Near McGrath, Alaska",Inland Aviation Services,,McGarth - Anvik,Cessna 207,,,6,2,0,"The aircraft impacted mountainous, brush covered terrain, about 37 miles west of McGrath in low clouds, rain and reduced visibility. Pilot error. The pilot's decision to continue VFR flight into instrument meteorological conditions, which resulted in an in-flight collision with mountainous terrain."
08/20/2011,12:50,"Resolute Bay, Nunavut, Canada",First Air,6560,Yellowknife - Resolute Bay,Boeing B-737-210C(A) Combi,b'C-GNWN',21067/414,15,12,0,"While on instrument approach and initiating a go-around, the plane hit a hill side 2km east of the runway and broke up into 3 pieces.The crew had initiated the go-around 2 seconds before impact. The late initiation and subsequent management of the descent resulted in the aircraft turning onto final approach 600 feet above the glideslope, increasing the crew’s workload and reducing their capacity to assess and resolve the navigational issues during the remainder of the approach."
08/26/2011,19:00,"Mosby, Missouri",LifeNet,,Bethany - Mosby,Eurocopter AS350B2,b'N352LN',3728,4,4,0,"The helicopter was headed for Mosby to refuel when it crashed in a field 1.7 nm north-northeast of Midwest National Air Center. The pilot, nurse, paramedic and patient were all killed."
09/02/2011,17:48,"Juan Fernandez Island, Chile",Chilean Air Force,,Santiago - Juan Fernandez Island,CASA C-212 Aviocar 300DF,b'966',443,21,21,0,"The aircraft attempted to land at the airport on two occasions, but strong winds prevented it from landing.The aircraft subsequently crashed into the sea 1 kilometre (1,100 yd) off the island on its third approach. One of the killed persons was Felipe Camiroaga, the most important TV entertainer in Chile."
09/06/2011,18:50,"Near Trinidad, Bolivia",Aerocon,A4-238,"Santa Cruz - Trinidad, Bolivia",Swearingen SA-227BC Metroliner III,b'CP-2548',BC-768B,9,8,0,"The plane crashed into the jungle while on approach to Runway 14 at Trinidad Airport. After the crew reported they were turning into the final approach, radio contact was lost. The plane was found 2 days later, 10 km from the airport. One passenger survived."
09/07/2011,15:50,"Yaroslavl, Russia",YAK Service,9633,Yaroslavl - Minsk,Yakovlev 42D,b'RA-42434',4520424305017,45,44,0,"The plane failed to climb after takeoff and crashed into an antenna outside the airport perimeter and came to rest in the Volga River, 1km from the runway. The plane carried the entire Lokomotiv Yaroslavl ice hockey team. Pilot error. Both pilots had experience on the Yak-40 but were assigned to switch between types , contrary to proper practice. They apparently had never learned the correct position for their feet on takeoff. In the Yak-42, and like virtually all other existing Russian and Western planes, a pilot steers the aircraft by pressing the lower part of pedals and activates the brakes by pressing their upper part.But instead of putting his heels on the cockpit floor as required,  One pilot left his feet resting on the pedals, as correct for theYak-40. This applied the brakes, causing a downward pitch force that  prevented the plane from rotating to take off. They made the fatal mistake of failing to abort the takeoff, but kept applying more upward  pitch with the result that when the plane finally left the ground and the downward pitch force stopped, it went into a stall within seconds."
09/14/2011,12:00,"Huambo, Angola",Military - FANA Forca Aerea Nacional Angolana,,Huambo - Luanda,Embraer 120ER Brasilia,b'T-500',120357,36,30,0,"The military plane crashed, broke in two and burned while attempting to takeoff from Huambo Airport. Six persons survived including the pilot and copilot."
09/16/2011,16:25,"Reno, Nevada",Private - Aero Trans Corp,,Air race,North American P-51D-15-NA Mustang,b'N79111',109-35934,1,1,10,The pilot of the aircraft participating in an air race lost control and dove into the spectator box seating area disintegrating upon impact. A section of the left elevator trim tab separated in flight. Investigation determined that the looseness of the elevator trim tab attachment screws and a fatigue crack in one of the screws caused a decrease in the structural stiffness of the elevator trim system.
09/20/2011,,"Near Cap-Haitien, Haiti",SALSA d'Haiti,112,Port au Prince - Cap Haitien,Beachcraft 99A,b'HH-APA',U-123,3,3,0,The plane crashed into a flooded sugar cane field while attempting to land in heavy rain and thunderstorms. The passenger and both pilots were killed.
09/22/2011,13:15,"Yellowknife, Northwest Territories, Canada",Arctic Sunwest Charters,,Thor Lake - Great Slave Lake,De Havilland Canada DHC-6-300 Twin Otter,b'C-GARW\xc2\xa0',367,9,2,0,"While coming in for a landing at Great Slave Lake the float plane hit powerlines, two cars and part of a building.  The pilot attempted to abort the landing after an aircraft float dug into the water. A cross-wind flipped the plane on end and it clipped power lines in front of a building, spinning it 90 degrees. The plane then crashed, floats first, into a façade. The fuselage then rotated on the ground and, the floats demolished two vehicles and came to rest in a parking lot facing back the way it had come."
09/25/2011,07:31,"Near Kathmandu, Nepal",Buddha Air,,Sightseeing,Beechcraft 1900D,b'9N-AEK',UE-295,19,19,0,The sightseeing flight of Mt. Everest struck terrain while on approach to Kathmandu-Tribhuvan Airport. One passenger survived the accident but died on the way to the hospital.
09/29/2011,07:38,"Near Bohorok, Indonesia",Nusantara Buana Air,,Medan - Kutacane,CASA NC-212 Aviocar 200,b'PK-TLF',,18,18,0,"Contact with the plane was lost 10 minutes after taking off from Medan. Wreckage was located near Bohorok, on the slope of a mountain 6,100 feet high. VFR flight into IMC conditions. Lack of crew coordination."
10/04/2011,11:47,"Near Lutsek'e, NT, Canada",Air Tindi,200,Yellowknife - Lutsek'e,Cessna 208B Grand Caravan I,b'C-GATV',208B-0308,4,2,0,"The plane hit the top of a hill while enroute, approximately 20 nm from Lutsek'e Airport. The pilot and one passenger were killed."
10/13/2011,17:00,"Near Madang, Papua New Guinea",Airline PNG,1600,Lae - Madang,de Havilland Canada DHC-8-102,b'P2-MCJ',125,32,28,0,"While on approach to Madang, the plane crashed into dense forest near the Gogol River, 20 km south of Madang. The two pilots and two pasengers survived the accident. Overspeeding of both propellers. The plane had to be manually flown because the aircraft's yaw damper was unserviceable. Neither pilot noticed the aircraft's speed increasing to its maximum operating speed. The pilot-in-command pulled the power levels of the plane 'quite quickly'. Moments later both propellers over-sped simultaneously. The over-speeding propellers back-drove the turbines in the engines (instead of the engine turbines driving the propellers) and this caused severe damage to the left engine.After the emergency began, the first officer quickly identified the double propeller over-speed. At about the same time, smoke appeared in the cockpit and various aircraft system malfunction alerts activated. The crew did not respond to any of these alerts by implementing the emergency procedures detailed in company manuals and the quick reference handbook."
10/14/2011,,"Xakanaka Airstrip, Botswana",Moremi Air Charters,,Xakanaka Airstrip - Pom Pom Airstrip,Cessna 208B Grand Caravan,b'A2-AKD',208B-0582,11,8,0,The sightseeing plane crashed immediately after taking off for Xakanaka Airstrip in the Okavango Delta.
10/27/2011,04:12,"Vancouver, BC, Canada",Northern Thunderbird Air Inc.,,Vancouver - Kelowna,Beechcraft 100 King Air,b'C-GXRX',B-36,9,1,0,"After taking off, the pilot reported problems with the aircraft and began returning to the airport. The plane crashed 900 meters short of Runway 26L. The plane took off even though the passengers reported an oil leak under one of the wings to the crew. Shortly after taking off the captain reported he was returning to the airport due to an oil problem."
11/10/2011,12:14,"Near Kilohana, Molokai, Hawaii",Blue Hawaiian Helicopter,,Sightseeing,Eurocopter EC-130 B4,b'N11QV',4909,5,5,0,"The sightseeing helicopter, on a tourist excursion of West Maui and Molokai, slammed into a mountainside and burst into flames while flying in heavy rain and winds. The pilot's failure to maintain clearance from mountainous terrain while operating in marginal weather conditions which resulted in impact of the horizontal stabilizer and lower forward portion of the Fenestron with he ground and or vegetation."
11/11/2011,08:55,"Near Santa Catarina Atoyzingo, Mexico",Fuerza Aerea Mexicana,,"Campo Militar Marte - Ciudad de Cuernavaca, Morelos",Aerospatiale AS 332L1 Super Puma,b'XC-UHM',2127,8,8,0,"The Mexican presidential helicopter crashed into the side of a hill in low clouds, at a height of 2,600 meters. The helicopter carried the Secretary of the Interior, José Francisco Blake Mora and other government officials."
11/24/2011,,"Near Sugapa, Indonesia",Susi Air,,Nabire - Sugapa,Cessna 208B Grand Caravan,b'PK-VVG',208B-1308,2,1,0,"While attempting to land, the pilot of the cargo plane pulled up from the approach to avoid a pedestrian on the runway and crashed into the surrounding mountains seven miles away. The copilot was killed."
11/28/2011,22:50,"Riverwoods, Illinois",Trans North Aviation Ltd.,,Jesup - Chicago,Piper PA-31-350 Navajo Chieftain,b'N59773',31-7652044,5,3,0,"The air ambulance crashed into a wooded area after the pilot reported having fuel problems. The patient, the patient's wife and one other person onboard was killed. Pilot error. The pilot's inadequate preflight planning and in-flight decision making, which resulted in a loss of engi9ne power due to fuel exhaustion during approach. Contributing to the accident was the pilot's decision to operate an airplane after using illicit drugs."
12/07/2011,16:45,"Near Henderson, Nevada",Sundance Helicopters Inc.,,Sightseeing,Aerospatiale AS-350 B2 Ecureuil,b'N37SH',2300,5,5,0,"The touring helicopter on a sightseeing flight of the Las Vegas Strip and Hoover Dam, crashed into a mountainside between Lake Mead and Henderson.say Critical steering hardware was disconnected, and the bolt and other tiny parts that should have secured it weren't found on the scene. Records show the mechanism was overhauled the day before but passed multiple inspections on the day of the crash. Inadequate maintenance of the helicopter, including the improper reuse of a degraded self-locking nut, the improper or lack of installation of a split pin and inadequate post maintenance inspections which resulted in the in-flight separation of the servo control input rod from the fore/aft servo and rendering the helicopter uncontrollable."
12/09/2011,14:24,"Sioux Falls, South Dakota",Quest Aviation,,"Sioux Falls, SD - Rapid City, SD",Cessna 421C,b'N421SY',421C0051,4,4,0,Thirty seconds after taking off the air-taxi began trailing white smoke from the left engine. The pilot attempted to return to the airport when the nose dropped abruptly and the plane impacted the ground.
12/26/2011,05:54,"Green Grove, Florida",,,"Jacksonville, FL - Gainsville, FL",B ell 206B,b'N5016M',2636,3,3,0,The on-demand air taxi was on a flight to procure an organ for transplantation when it crashed in a wooded area near the Jacksonville Sheriff's Department Aviation Unit. The helicopter was at a height of 30 feet when it struck a 50 ft. tree.
01/10/2012,10:00,"North Spirit Lake, Ontario, Canada",Keystone air Service Limited,,Winnipeg - North Spirit Lake,Piper PA-31-350 Navajo Chieftain,b'C-GOSU',31-7752148,5,4,0,"While on approach, the plane crashed on a frozen lake, 1 km from the runway. The crash occurred during blizzard conditions."
01/30/2012,08:45,"Namoya, Congo",TRACEP Congo Aviation,,Bukavu - Namoya,Antonov AN-28,b'9Q-CUN',,5,3,0,The cargo plane was on approach to land when it crashed in a forest 10km from Namoya.
03/15/2012,07:15,"Near San Juan, Puerto Rico",Jet One Express,,San Juan - Saint Croix,Convair CV-340,b'N153JR',117,2,2,0,"The cargo plane just took off and was carrying 2,500 lbs of bread when the pilot radioed he was having engine trouble and returning to the airport. The plane crashed in the Torrecilla Lagoon, killing both pilots."
03/16/2012,10:45,"Kabul, Afghanistan",Military - Turkish Army (NATO),,,Sikorsky S-70A-28,b'10981',,12,12,4,The helicopter crashed on the outskirts of Kabul in the Bagrami District. It appeared the plane was trying to make an emergency landing when it crashed into houses killing four people on the ground.
04/02/2012,07:44,"Tyumen, Russia",UTAir,120,Tyurmen - Surgut,ATR 72-201,b'VP-BYZ',332,43,33,0,"After taking off, the plane lost height during the initial climb and crash landed in a snowy field, 1.5 miles past the end of the runway. The impact split the plane into three pieces. Icing. The plane was not deiced before taking off."
04/20/2012,18:40,"Islamabad, Pakistan",Bhoja Airlines,213,Karachi - Islamabad,Boeing 737-236,b'AP-BKC\xc2\xa0',23167/1074,127,127,0,"While attempting to land, the plane impacted terrain about 5 km short of and slightly left of the extended runway center line of Islamabad's runway 30. The plane completely broke up, burst into flamesand came to rest in Hussain Abad Village. The crew were trained to fly the Boeing 737-200 but not the more advanced 737-236 which features an automated flight deck. The aircraft accident took place as a result of combination of various factors which directly and indirectly contributed towards the causation of accident.The primary causes of accident include, ineffective management of the basic flight parameters such as airspeed, altitude, descent rate attitude, as well as Page 75 of 78 thrust management. The contributory factors include the crew’s decision to continue the flight through significant changing winds associated with the prevailing weather conditions and the lack of experience of the crew to the airplane’s automated flight deck"
04/30/2012,16:30,"Sabanagrande, Colombia",Military -Fuerza Aerea Colombiana,,Barranquilla - Caucasia,Bell 212,b'FAC 4020\xc2\xa0',31272,13,13,0,The helicopter caught fire and crashed while en route.
05/09/2012,15:30,"Near Cidahu, Indonesia",Sukhoi,,Demonstration flight,Sukhoi Superjet 100-95,b'RA-97004', 95004,45,45,0,"The Russian jet crashed on the slopes of Mount Salak at an elevation of 5,200 ft. The airliner was conducting a demonstration flight to prospective customers. The last radio contact with the flight was at 15:30 when the crew requested a descent from 10,000ft to 6,000ft. All 40passengers, 6 crew and 2 Sukhoi officials were killed. Pilot error. The TAWS had sent a 'terrain ahead' warning before the crash, followed by six 'avoid terrain' warnings. The pilot in command switched the TAWS off as he assumed there was a database problem."
05/14/2012,09:15,"Jomsom, Nepal",Agni Air,,Pokhara - Jomsom,Dornier 228-212,b'9N-AIG',8216,21,15,0, 	The plane was attempting to land and went around on final approach to Runway 06. The aircraft joined a left downwind when a wing contacted a hilltop about 900 feet north of the airport.The flight attendant and 5 passengers survived the accident.
